car_name,Encoded_value
Maruti Baleno 1.2,495
Tata Hexa XTA,818
Maruti Swift Dzire,588
Hyundai i10 Magna,309
Hyundai i20 Active,314
Tata Tiago 1.05,877
Maruti Eeco 7,528
Hyundai Santro Xing,283
Honda Amaze E,176
Hyundai Xcent 1.2,304
Maruti Ciaz Sigma,520
Hyundai Venue SX,291
Maruti Alto K10,488
Maruti Wagon R,605
Toyota Etios VX,918
Toyota Corolla Altis,904
Kia Sonet HTX,369
Maruti Ciaz Alpha,517
Ford Ecosport 1.5,136
Mitsubishi Outlander 2.4,687
Maruti Baleno Zeta,502
Maruti Alto 800,486
Hyundai Grand i10,275
Maruti Swift VDI,595
Mahindra XUV500 W6,463
Tata New Safari,857
Tata Tiago 1.2,878
Maruti Vitara Brezza,604
Maruti Ertiga VDI,537
Maruti Celerio VXI,510
Hyundai Creta 1.4,250
Toyota Innova 2.5,930
Tata Manza Aqua,843
Maruti Eeco CNG,529
Audi A4 2.0,5
Hyundai i20 Sportz,321
Volkswagen Polo Diesel,957
Hyundai i10 Sportz,311
Hyundai Venue S,290
Skoda Rapid 1.0,783
Ford Figo Diesel,162
MG Hector Plus,386
Hyundai EON D,257
Tata Punch Adventure,868
Volkswagen Polo 1.5,955
Toyota Etios Liva,914
Renault Duster 85PS,728
Mahindra XUV500 W10,459
Kia Seltos HTX,363
Nissan Terrano XE,710
Chevrolet Spark 1.0,85
Ford Figo Titanium,164
Honda Jazz 1.5,220
Honda City i-DTEC,213
Mahindra XUV500 W8,465
Toyota Etios V,916
Renault KWID RXL,741
Maruti SX4 ZXI,582
Mahindra Scorpio VLX,442
Honda City i,212
Renault KWID STD,743
Tata Nexon XM,863
Tata Indica Aqua,819
Mahindra XUV500 W7,464
Datsun GO Plus,98
Chevrolet Beat Diesel,68
Ford Aspire 1.5,131
Mahindra XUV500 W4,461
Mahindra XUV300 W8,455
Kia Seltos GTX,360
MG Hector Sharp,387
Tata Nexon 1.2,858
Honda Brio V,189
Renault Fluence Diesel,734
Toyota Yaris G,937
Honda City 1.5,198
Renault Triber RXL,758
Renault Duster 110PS,726
Hyundai i20 1.4,313
Mahindra Bolero B6,394
Hyundai Creta 1.6,251
Ford Fiesta 1.4,151
Renault KWID Climber,739
Hyundai i20 Magna,318
Maruti Swift VXI,598
Jeep Compass Model,348
Toyota Glanza G,927
Toyota Etios GD,912
Honda Amaze S,178
Chevrolet Beat LT,70
Mahindra KUV 100,411
Nissan Magnite XE,696
Maruti Ciaz Delta,518
MG Astor Sharp,377
Hyundai i20 Asta,315
Maruti Celerio Tour,509
Maruti Ertiga ZDI,540
Audi Q3 2.0,22
Tata Punch Pure,872
Honda CR-V 2.4,193
Skoda Fabia 1.2,761
Mahindra Thar LX,450
Hyundai i20 Petrol,320
Maruti A-Star Vxi,484
Hyundai Verna CRDi,295
Maruti Baleno Delta,498
Toyota Urban cruiser,936
BMW 3 Series,43
Chevrolet Tavera 2,87
Tata Zest Quadrajet,899
Maruti Ritz VDi,566
Hyundai i20 1.2,312
Hyundai Verna 1.6,293
Audi e-tron 55,40
Audi Q3 30,23
BMW 6 Series,45
Audi A6 35,15
Audi A4 35,8
Audi Q3 35,24
Audi A4 30,7
Mercedes-Benz E-Class E250,638
Audi Q7 35,34
Mercedes-Benz C-Class C,623
Audi A3 35,1
Audi Q8 55,37
Audi RS5 Sportback,38
Audi Q5 40,30
Audi A4 1.8,4
Audi A6 45,16
Maruti Swift AMT,586
Honda Amaze SX,179
Mahindra XUV500 W9,466
Maruti Celerio ZXI,513
Nissan Magnite Turbo,695
Maruti Ertiga SHVS,535
Tata Tigor XZ,893
Mercedes-Benz GLE 450,663
Honda WR-V i-VTEC,239
Renault Kiger RXT,746
Mercedes-Benz CLA 200,628
Mercedes-Benz GLC 220d,655
Hyundai EON Era,258
Maruti Celerio X,512
Honda Amaze VX,181
Honda City VTEC,209
Mahindra XUV700 AX5,468
Honda Civic 1.8,215
Honda Amaze V,180
Mercedes-Benz GLS 450,668
Skoda Rapid 1.5,784
Tata Nano LX,851
Skoda Rapid 1.6,785
Chevrolet Tavera B2-7,88
Mahindra XUV500 W11,460
Maruti Ignis 1.2,546
Hyundai Aura SX,249
Mercedes-Benz AMG A,614
Hyundai Verna 1.4,292
Maruti S-Presso VXI,573
Fiat Punto 1.2,123
Mahindra TUV 300,445
Hyundai Creta E,252
BMW X1 sDrive20d,50
Maruti Swift ZXI,602
Nissan Terrano XL,711
Maruti Zen Estilo,608
Tata Safari Storme,873
Skoda Slavia 1.0,788
Hyundai Verna SX,298
Renault KWID 1.0,736
Hyundai Santro Sportz,282
Toyota Fortuner 2.8,920
Honda City V,208
Maruti Ritz ZDi,569
Nissan Terrano XV,712
Maruti Ciaz ZXi,525
Mahindra Scorpio S5,435
Ford Aspire Trend,134
Renault KWID RXT,742
Maruti Baleno Sigma,501
Maruti Baleno 1.3,496
Honda WR-V i-DTEC,238
Hyundai Elantra CRDi,264
Volkswagen Ameo 1.5,943
Mahindra Marazzo M2,412
Tata Tiago NRG,880
Honda WR-V SV,236
Tata Nexon KRAZ,861
Maruti SX4 S,577
Tata Indigo TDI,837
Toyota Fortuner 4x2,924
Tata Nexon XZ,865
Ford Freestyle Ambiente,165
Toyota Glanza V,928
Tata Indigo LX,835
Maruti Ignis 1.3,547
Volkswagen Jetta 2.0L,950
Maruti Ciaz ZDi,524
Mahindra Scorpio 1.99,421
MG Hector Shine,388
Honda City i-VTEC,214
Mahindra Thar CRDe,448
Jeep Compass 2.0,346
Tata Indigo Classic,830
Honda Amaze EX,177
Tata Tiago XZ,886
Ford Endeavour Titanium,150
Toyota Etios STD,915
Volkswagen Ameo 1.2,942
Maruti Alto LXi,491
Maruti SX4 ZDI,581
Ford Endeavour 3.2,147
Hyundai Aura S,248
Honda WR-V Edge,235
Honda Jazz VX,226
Mahindra Bolero Neo,398
Ford Figo Petrol,163
Maruti XL6 Alpha,606
Tata Aria Pleasure,807
Tata Altroz XT,803
Nissan Micra XV,704
Hyundai Verna VTVT,300
Nissan Micra Active,699
Tata Altroz XZ,805
Renault Pulse Petrol,752
Honda Jazz 1.2,219
Hyundai i10 Asta,307
Renault Captur 1.5,724
Maruti 800 Std,481
Volkswagen Polo 1.0,953
Tata Altroz XE,801
Mahindra Supro VX,444
Toyota Yaris J,938
Mahindra XUV300 W6,454
Tata Indigo GLE,831
Ford Fiesta Petrol,157
Skoda Kushaq 1.0,766
Renault Lodgy Stepway,751
Renault Scala Diesel,755
Mahindra Xylo E8,474
Tata Indigo eLX,842
Mahindra Scorpio DX,424
Toyota Etios VD,917
Maruti Swift LDI,589
Kia Carens Prestige,354
Maruti Ciaz VDi,522
Ford Ecosport Sports,140
Volkswagen Polo Petrol,961
Maruti Alto LX,489
Tata Indica V2,827
Ford Figo 1.5D,160
Honda Brio S,188
Toyota Etios Cross,910
Tata Nexon 1.5,859
Toyota Camry 2.5,901
Tata Bolt Quadrajet,808
Volkswagen Polo 1.2,954
Maruti Ciaz 1.4,515
Chevrolet Sail LS,84
Mercedes-Benz GLE 300d,660
Renault Lodgy 110PS,749
Mahindra Scorpio SLE,440
Tata Indigo GLX,833
Hyundai Santa Fe,276
Fiat Grande Punto,112
Hyundai i10 Era,308
Tata Tigor EV,890
Tata Nexon EV,860
Toyota Etios JD,913
Mercedes-Benz SLK-Class SLK,674
BMW 5 Series,44
Mercedes-Benz CLS-Class 350,632
Mercedes-Benz CLA 45,629
Land Rover Discovery,371
BMW X1 sDrive,48
Mercedes-Benz C-Class Progressive,627
Audi A3 cabriolet,3
Mercedes-Benz GLE 250d,659
Mercedes-Benz E-Class Expression,642
Jeep Wrangler 3.6,351
Tata Nexon XZA,866
Honda City ZX,211
Maruti Ignis Sigma,550
Tata Indigo CR4,829
Lexus ES 300h,374
BMW X5 xDrive,60
Tata Punch Accomplished,867
Audi Q7 45,36
Skoda Octavia Laurin,780
Jaguar F-Pace Prestige,328
Mercedes-Benz GLS 350d,665
MG Gloster Savvy,382
Hyundai EON Magna,260
Volkswagen Jetta 1.9,948
Mercedes-Benz GL-Class Grand,647
BMW X4 M,58
Nissan Magnite XV,698
BMW X1 sDrive18d,49
Hyundai EON 1.0,256
Toyota Fortuner 3.0,921
Skoda Yeti Elegance,800
Mercedes-Benz S-Class S,672
Kia Seltos HTK,362
Hyundai i20 Diesel,316
Honda City GXi,204
Renault Triber RXZ,760
Tata Tigor 1.2,889
Nissan Sunny XE,706
Audi A6 2.0,12
Mahindra Bolero SLX,403
Kia Seltos X-Line,364
Toyota Etios 1.4,908
Maruti Ciaz VXi,523
Ford Figo 1.2P,158
Toyota Innova Crysta,931
Ford Mustang V8,174
Hyundai Elite i20,268
Maruti Ignis Delta,549
Fiat Punto EVO,126
Skoda Superb 2.0,791
Mercedes-Benz E-Class Exclusive,641
Hyundai Elantra VTVT,267
Audi Q5 35TDI,29
Hyundai Xcent Prime,305
Honda Jazz Active,221
BMW X1 sDrive20i,51
Hyundai Santro Magna,281
Kia Carnival Limousine,355
Jaguar XF 2.0,335
Tata Tigor XM,891
Volkswagen Vento IPL,973
Mahindra XUV500 AT,457
Hyundai Creta SX,255
Honda City E,201
Hyundai Creta S,254
Skoda Superb Elegance,794
Toyota Fortuner 4X2,922
Ford Endeavour 2.2,143
Hyundai Accent Executive,241
Volvo S90 D4,984
Tata Zest Revotron,900
Volkswagen CrossPolo 1.2,945
Honda New Accord,233
Datsun GO NXT,97
Chevrolet Cruze LTZ,74
Maruti Eeco 5,527
Skoda Yeti Ambition,799
Datsun RediGO T,107
Maruti Swift VDi,596
Renault Kiger RXZ,747
Maruti SX4 VDI,578
Kia Sonet HTK,368
Volkswagen Vento Petrol,975
Renault Duster Petrol,730
Maruti Ritz VXi,568
Volkswagen Vento 1.5,970
Nissan Sunny Diesel,705
Hyundai Elantra S,265
Maruti Ritz LXi,564
Volkswagen Vento Diesel,972
Maruti Zen LXI,610
Volkswagen Vento 1.6,971
Mercedes-Benz B Class,618
Skoda Octavia Ambition,777
Renault Duster RXZ,733
Ford Ikon 1.6,171
Maruti SX4 VXI,579
Fiat Linea T-Jet,120
Maruti Swift 1.3,585
Maruti Swift Vdi,599
Ford Ecosport S,137
Tata Hexa XM,815
Hyundai Alcazar Platinum,245
Jeep Compass 1.4,345
Hyundai Getz 1.3,270
Maruti Swift Ldi,591
Fiat Palio 1.2,122
Tata Manza Aura,844
Chevrolet Sail Hatchback,83
Honda BR-V i-VTEC,184
Volkswagen Passat 2.0,951
Mahindra XUV300 W4,453
Ford Aspire 1.2,130
Tata Hexa XMA,816
Tata Indica Aura,820
Honda City EXi,202
Mahindra XUV500 R,458
Maruti Ertiga VXI,538
Tata Harrier XZ,812
Maruti SX4 Zxi,583
Renault Triber RXE,757
Mahindra Ssangyong Rexton,443
Nissan Sunny XL,707
Nissan Magnite XL,697
Jaguar XF 2.2,336
Skoda Laura 1.8,768
Isuzu D-Max 4X4,322
Maruti Ertiga ZXI,541
Maruti Swift 1.2,584
Mercedes-Benz GL-Class 350,646
BMW X7 xDrive,61
Mercedes-Benz CLS-Class 250,631
Mercedes-Benz GLC 200,653
Honda CR-V 2.0L,192
Mercedes-Benz GLC Coupe,657
Mercedes-Benz GLB 220d,652
Mercedes-Benz GLA 220d,649
BMW 7 Series,46
Porsche Cayenne Coupe,715
Mercedes-Benz EQS 580,644
Skoda Octavia 1.8,774
Land Rover Range,373
Toyota Camry Hybrid,902
Mercedes-Benz G G,645
Porsche Taycan Standard,723
Mercedes-Benz AMG GLA,615
Chevrolet Sail 1.3,82
